Date,Venue,Grade,Section,Players,Outcome,Result,Games
29/12/2018,Baldoyle,8,MD,Jolly Roger|Dick Black,Win,21|12|21,2|1
,,,,James Bond|William Mulder,Lost,15|21|19,1|2
29/12/2018,Baldoyle,8,MD, Walter White| Jesse Pinkman,Lost,14|18,0|2
,,,,Saul Goodman|Mike Ehrmantraut,Win,21|21,2|0
29/12/2018,Baldoyle,8,MD,Robo Cop|Batman,Lost,21|16|21,1|2
,,,,Robinhood|Ironman,Win,8|21|11,2|1
29/12/2018,Baldoyle,8,MD,Robo Cop|Batman,Lost,21|16|21,1|2
,,,,Robinhood|Ironman,Win,8|21|11,2|1
29/12/2018,Baldoyle,8,MD,Robo Cop|Batman,Lost,21|16|21,1|2
,,,,James Bond|William Mulder,Win,8|21|11,2|1
29/12/2018,Baldoyle,8,MD, Walter White| Jesse Pinkman,Win,8|21|11,2|1
,,,,James Bond|William Mulder,Lost,21|16|21,1|2
29/12/2018,Baldoyle,8,MD,Jolly Roger|Dick Black,Win,21|21,2|0
,,,,Saul Goodman|Mike Ehrmantraut,Lost,14|18,0|2
29/12/2018,Baldoyle,8,MD,Jolly Roger|Dick Black,Lost,21|16|21,1|2
,,,,Robo Cop|Batman,Win,23|21|19,2|1
29/12/2018,Baldoyle,8,MD,Saul Goodman|Mike Ehrmantraut,Lost,8|21|11,2|1
,,,, Walter White| Jesse Pinkman,Win,21|12|21,2|1
